iso3c,region_id,country_name,income_id,gdp_per_capita,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,population_population_number_of_people,special_waste_e_waste_tons_year,total_msw_generated_tons_year
AGO,SSF,Angola,LMC,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,25096150,92000,4213643.585
ALB,ECS,Albania,UMC,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,2854191,20000,1087446.75
ARG,LCN,Argentina,HIC,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,42981516,291700,17910550
ARM,ECS,Armenia,UMC,11019.83887,57,3.2,3.4,17.4,6.7,11.4,2906220,14000,492800
ATG,LCN,Antigua and Barbuda,HIC,17965.50195,46,7,7,12,15,13,96777,1100,30585
AUS,EAS,Australia,HIC,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,23789338,574000,13345000
AUT,ECS,Austria,HIC,56029.61328,31.4,7,4.4,18.5,19.7,11.1,8877067,166174,5219715.5
AZE,ECS,Azerbaijan,UMC,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,9649341,63000,2930349
BEL,ECS,Belgium,HIC,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,11484055,603575,4765883
BEN,SSF,Benin,LIC,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,5521763,8200,685936.01
BFA,SSF,Burkina Faso,LIC,1925.331177,21,1,1,61,7,9,18110624,11000,2575251.11
BGD,SAS,Bangladesh,LMC,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,155727056,142000,14778497.33
BGR,ECS,Bulgaria,UMC,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,7025037,53785,2859190
BHR,MEA,Bahrain,HIC,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,1425171,20000,951942.9695
BHS,LCN,"Bahamas, The",HIC,35400.08203,46,7,7,12,15,13,386838,4900,264000
BLR,ECS,Belarus,UMC,18307.51953,30,8,2,35,5,12,9489616,72000,4280000
BLZ,LCN,Belize,UMC,7259.024414,47,8,5,5,16,19,359288,2300,101378.8303
BOL,LCN,Bolivia,LMC,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,10724705,35392,2219052
BRA,LCN,Brazil,UMC,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,208494896,1411900,79069584
BRB,LCN,Barbados,HIC,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,280601,3800,174815.4444
BRN,EAS,Brunei Darussalam,HIC,60865.98828,36,3,4,15,18,16,423196,7700,216253.156
BTN,SAS,Bhutan,LMC,6743.016113,58,4,1,7,17,13,686958,1457.5,111314.05
CAN,NAC,Canada,HIC,47672.07813,24,6,13,8,47,3,35544564,724000,25103034
CHE,ECS,Switzerland,HIC,68394.28906,29,4,3,29,20,15,8574832,184000,6079556
CHL,LCN,Chile,HIC,20361.71484,53.3,6.6,2.3,16,12.4,9.4,16829442,176000,6517000
CHN,EAS,China,UMC,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,1400050048,7211000,395081376
CMR,SSF,Cameroon,LMC,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,21655716,19000,3270616.59
COL,LCN,Colombia,UMC,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,46406648,252200,12150120
COM,SSF,Comoros,LIC,2959.540039,50,2,4,22,7,5,777424,600,91013
CRI,LCN,Costa Rica,UMC,18168.71484,58,1,2,7,21,11,4757575,35800,1460000
CYP,ECS,Cyprus,HIC,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,1198575,18137,769485.125
CZE,ECS,Czech Republic,HIC,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,10669709,79581,5334854.5
DEU,ECS,Germany,HIC,53784.78125,30,10,1.4,17.7,24,13,83132800,2465085,50627876
DNK,ECS,Denmark,HIC,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,5818553,168614,4910858.5
DOM,LCN,Dominican Republic,UMC,15328.35254,51,6,3,10,16,10,10528394,57000,4063910
DZA,MEA,Algeria,UMC,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,40606052,252000,12378740
ECU,LCN,Ecuador,UMC,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,16144368,73000,5297211.143
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742,56,4,2,15,10,13,87813256,497000,21000000
ESP,ECS,Spain,HIC,40985.55859,49,8,3,14,15,9,47076780,1202597,22408548
EST,ECS,Estonia,HIC,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,1326590,34312,489511.7188
ETH,SSF,Ethiopia,LIC,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,99873032,49000,6532786.97
FIN,ECS,Finland,HIC,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,5520314,212954,3124497.75
FJI,EAS,Fiji,UMC,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,867086,4600,189389.594
FRA,ECS,France,HIC,46110.18359,32,10,3,26,20,9,67059888,2218682,36748820
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,104937,200,26039.57
GBR,ECS,United Kingdom,HIC,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,66460344,3584126,30771140
GEO,ECS,Georgia,LMC,12605.13965,39,3,5,16,34,3,3717100,21000,800000
GHA,SSF,Ghana,LMC,3092.596924,67,0,1,25,3,4,21542008,39000,3538274.978
GIB,ECS,Gibraltar,HIC,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,33623,201.44,16954
GIN,SSF,Guinea,LIC,1622.776855,58,1,1,27,9,4,8132552,8000,596911
GRC,ECS,Greece,HIC,30465.44922,40,3,3,9,29,14,10716322,188460,5615352.5
GRD,LCN,Grenada,UMC,13207.71191,27.1,3.1,2.4,36.5,13.6,16.4,105481,800,29536.11394
GUY,LCN,Guyana,UMC,9812.089844,50.1,4.7,4.2,12.1,10.7,14.2,746556,5000,179251.5
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,35,3,2,14,22,21,7305700,70000,5679816.465
HND,LCN,Honduras,LMC,5395.61377,57.9,1.27,2.11,6.62,17.36,14.41,9112867,1700,2162027.696
HRV,ECS,Croatia,HIC,28829.35547,30.9,3.7,2.1,11.5,23.2,22.9,4067500,58078,1810037.5
HTI,LCN,Haiti,LIC,2952.618652,61.3,1.6,2.5,16.8,4.1,12.7,10847334,6000,2309852.455
HUN,ECS,Hungary,HIC,32643.49023,22.5,3.5,1.8,45.9,13.4,13,9769949,50066,3780970.25
IDN,EAS,Indonesia,LMC,10531.19824,53.8,2.5,1.8,12.9,14.9,14,261115456,1274000,65200000
IRL,ECS,Ireland,HIC,83388.71875,16.6,8.5,3.7,25.8,25,12.4,4867316,212874,2910655
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623,72.9,1.9,2.3,5,7.3,8.5,80277424,630000,17885000
IRQ,MEA,Iraq,UMC,10310.67969,68.7,2.3,0.98,6,9.6,5.29,36115648,221000,13140000
ISR,MEA,Israel,HIC,37687.74609,34,3,3,16,24,18,8380100,120000,5400000
ITA,ECS,Italy,HIC,42419.72266,34.4,7.6,4.3,15.4,22.8,11.6,60297396,2800026,30088400
JAM,LCN,Jamaica,UMC,9550.810547,62.22,2.81,2.38,5.13,14.73,12.2,2881355,17000,1051694.575
JOR,MEA,Jordan,UMC,10413.17578,50,2,1.5,15.5,15,16,8413464,43000,2529997
JPN,EAS,Japan,HIC,41309.95703,36,5,4,6,33,11,126529104,518978,42720000
KAZ,ECS,Kazakhstan,UMC,22702.58008,30,5,3,7,25,25,16791424,147000,4659740
KEN,SSF,Kenya,LMC,3329.854492,57,3,1,9,11.3,18.7,41350152,17350,5595099
KHM,EAS,Cambodia,LMC,3364.278809,66.6,2.6,2,10.4,4,8.6,15270790,14000,1089000
KIR,EAS,Kiribati,LMC,2249.768555,43.6,5.5,10,9.3,10.9,16.5,114395,100,35723.8275
KNA,LCN,St. Kitts and Nevis,HIC,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,54288,700,32892.14
KWT,MEA,Kuwait,HIC,58810.30078,45,4,2,8,20,20,2998083,67000,1750000
LAO,EAS,Lao PDR,LMC,6543.666992,16.9,9.3,3.7,20.3,2.8,6.1,6663967,7500,351900
LBN,MEA,Lebanon,UMC,16966.74023,52.5,3.5,5.5,11,16,11.5,5603279,51000,2040000
LBY,MEA,Libya,UMC,8479.946289,70.1,3.1,4.3,3.8,5.5,7.5,6193501,70000,2147596.472
LCA,LCN,St. Lucia,UMC,14029.98242,45,7,5,11,10,22,177206,1600,77616.228
LIE,ECS,Liechtenstein,HIC,45726.98828,37.6,5,12.5,9.1,30.3,5.4,36545,293,32382
LKA,SAS,Sri Lanka,LMC,12287.47266,62,2,3,13,7,7,21203000,72.5,2631650
LTU,ECS,Lithuania,HIC,37278.30469,40.4,8.65,2.75,44.05,10.05,10.15,2786844,82691,1315390.375
LUX,ECS,Luxembourg,HIC,114323.4063,30,4,2,27,19,18,619896,7398,490337.75
LVA,ECS,Latvia,HIC,30982.17383,46.7,21.4,2.6,9.7,6.1,7.7,1912789,25071,839714.375
MAC,EAS,"Macao SAR, China",HIC,117335.5859,3.1,3.3,1.7,3.1,58.7,7.9,612167,11000,377942
MAR,MEA,Morocco,LMC,6915.103027,60,2,2.5,6,9,8,34318080,30300,6852000
MDA,ECS,Moldova,LMC,10360.83008,55,4,3,23,5,10,3554108,6300,3981200
MEX,LCN,Mexico,UMC,19332.07422,52.4,5.9,3.4,12.1,13.8,10.9,125890952,957900,53100000
MKD,ECS,"Macedonia, FYR",UMC,16147.72949,29.3,4.1,2.5,19.8,12.8,13.9,2082958,1220,626970.375
MLT,MEA,Malta,HIC,43707.53906,52,6,4,9.5,18,12,502653,7643,348841.1875
MNE,ECS,Montenegro,UMC,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,622227,6200,329780.3125
MRT,SSF,Mauritania,LMC,4783.635742,4.8,4,4.2,59.7,7.3,20,3506288,5100,454000
MYS,EAS,Malaysia,UMC,23906.26563,46,3,3,9,14,15,30228016,280000,12982685
NLD,ECS,Netherlands,HIC,56849.375,35,5.4,4.3,20.24,21,14,17332850,534410,8805088
NOR,ECS,Norway,HIC,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,5347896,150000,4149967.25
NPL,SAS,Nepal,LIC,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,28982772,23000,1768977.49
NZL,EAS,New Zealand,HIC,41857.47656,28,4,4.5,37,7,8,4692700,95000,3405000
PAK,SAS,Pakistan,LMC,4571.414551,30,6,4,20,13,9,193203472,301000,30760000
PAN,LCN,Panama,HIC,28436.35938,46.4,5.8,3.8,5.7,26.3,12,3969249,3200,1472262.215
PER,LCN,Peru,UMC,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,30973354,182000,8356711.13
PHL,EAS,Philippines,LMC,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,103320224,290000,14631922.9
PLW,EAS,Palau,HIC,18275.02539,26,5,10,9,15,32,21503,200,9426.7455
POL,ECS,Poland,HIC,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,37970872,224452,12758213
PRI,LCN,Puerto Rico,HIC,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,3473181,946.44,4170953
PRT,ECS,Portugal,HIC,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,10269417,170078,5268211
QAT,MEA,Qatar,HIC,96261.66406,57,4,9,5,11,14,2109568,29000,1000990.016
ROU,ECS,Romania,UMC,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,19356544,132268,5419832.5
RUS,ECS,Russian Federation,UMC,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,143201680,1392000,60000000
SAU,MEA,Saudi Arabia,HIC,48921.23047,45.5,4,5,2.5,27,11,31557144,508000,16125700.58
SEN,SSF,Senegal,LIC,3067.662598,12,2,2,68,5,9,15411614,15000,2454059.25
SGP,EAS,Singapore,HIC,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,5703600,100000,1870000
SLB,EAS,Solomon Islands,LMC,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,563513,400,179971.9644
SLV,LCN,El Salvador,LMC,7328.713379,65,4,2,7,12,10,6164626,30100,1648996.18
SRB,ECS,Serbia,UMC,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,6944975,14388,2347401.5
SVK,ECS,Slovak Republic,HIC,31965.76172,42,19,2,1,25,11,5454073,30911,2296164.75
SYC,SSF,Seychelles,HIC,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,88303,1100,48000
TGO,SSF,Togo,LIC,1404.132935,38,2,4,42,4,10,7228915,6400,1109030.45
THA,EAS,Thailand,UMC,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,68657600,384233,26853366
TLS,EAS,Timor-Leste,LMC,3344.57373,43.6,5.5,10,9.3,10.9,16.5,1268671,3600,63875
TON,EAS,Tonga,UMC,5636.418457,51.3,5.9,9,8.9,7.4,13.4,104951,300,17238.20175
TTO,LCN,Trinidad and Tobago,HIC,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,1328100,71.07,727874
TUN,MEA,Tunisia,LMC,10505.2627,68,2,4,5,10,11,11143908,90000,2700000
TUR,ECS,Turkey,UMC,28289.08789,64,2,1,24,6,3,83429616,623000,35374156
TUV,EAS,Tuvalu,UMC,3793.127686,43.6,5.5,10,9.3,10.9,16.5,11097,10,3989.4865
UKR,ECS,Ukraine,LMC,11534.6377,37,5,4,22,25,7,45004644,277000,15242025
URY,LCN,Uruguay,HIC,20588.39258,53.5,3,5,7.5,20,11,3431552,37000,1260139.509
USA,NAC,United States,HIC,61498.37109,14.9,4.4,9,3.2,26.6,12.9,326687488,2440000,265224528
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,109455,900,31561.34925
VNM,EAS,Vietnam,LMC,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,86932496,141000,9570300
VUT,EAS,Vanuatu,LMC,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,270402,300,70225.489
WSM,EAS,Samoa,UMC,6210.983398,42.6,2.2,8.8,19.4,7.2,13,187665,500,27399.09
XKX,ECS,Kosovo,LMC,9723.561523,42,6,6,20,8,11,1801800,23,319000
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,65,1,6,6,7,10,27584212,42000,4836820
ZAF,SSF,South Africa,UMC,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,51729344,321000,18457232
ZWE,SSF,Zimbabwe,LIC,3190.506592,36,5,6,3,27,23,12500525,13000,1449752
